method,image_path,segmentation_path,skeleton_path,precision,recall,f1_score,parameters
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.941803642825411,0.4276780310671777,0.588235294117647,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0,0.0,0,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0,0.0,0,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0,0.0,0,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0,0.0,0,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.7917737789203085,0.6863509749303621,0.7353028946583111,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.854421768707483,0.615565575377377,0.715587967183227,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius2_segmentation.png,media/results/reconstruction_segmentation_radius2_skeleton.png,0.9422222222222222,0.4276780310671777,0.5883169141112806,{'radius': 2}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius2_segmentation.png,media/results/reconstruction_segmentation_radius2_skeleton.png,0.9422222222222222,0.4276780310671777,0.5883169141112806,{'radius': 2}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.9350797266514806,0.16013263116832455,0.27343880099916734,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.7917737789203085,0.6863509749303621,0.7353028946583111,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.7917737789203085,0.6863509749303621,0.7353028946583111,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.7917737789203085,0.6863509749303621,0.7353028946583111,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.9018018018018018,0.5651110274745954,0.6948172142526609,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.8570707070707071,0.6367729831144465,0.7306781485468246,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.7917737789203085,0.6863509749303621,0.7353028946583111,{'radius': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
